zip,type,primary_city,latitude,longitude,irs_estimated_population_2014
73301,UNIQUE,Austin,30.26,-97.74,433
73344,UNIQUE,Austin,30.26,-97.74,0
75001,STANDARD,Addison,32.96,-96.83,14070
75002,STANDARD,Allen,33.1,-96.66,65000
75006,STANDARD,Carrollton,32.98,-96.89,48450
75007,STANDARD,Carrollton,33.01,-96.9,52050
75009,STANDARD,Celina,33.32,-96.78,10590
75010,STANDARD,Carrollton,33.05,-96.87,25260
75011,PO BOX,Carrollton,32.98,-96.89,1742
75013,STANDARD,Allen,33.11,-96.69,38880
75014,PO BOX,Irving,32.85,-96.96,410
75015,PO BOX,Irving,32.85,-96.96,1123
75016,PO BOX,Irving,32.85,-96.96,1202
75017,PO BOX,Irving,32.85,-96.96,570
75019,STANDARD,Coppell,32.96,-96.99,42580
75020,STANDARD,Denison,33.75,-96.56,18950
75021,STANDARD,Denison,33.73,-96.47,7160
75022,STANDARD,Flower Mound,33.02,-97.09,23610
75023,STANDARD,Plano,33.06,-96.73,44980
75024,STANDARD,Plano,33.08,-96.8,40070
75025,STANDARD,Plano,33.09,-96.74,52370
75026,PO BOX,Plano,33.04,-96.74,993
75027,PO BOX,Flower Mound,33.02,-97.09,670
75028,STANDARD,Flower Mound,33.03,-97.06,43790
75029,PO BOX,Lewisville,33.04,-96.98,1074
75030,PO BOX,Rowlett,32.9,-96.55,1039
75032,STANDARD,Rockwall,32.85,-96.44,29430
75033,STANDARD,Frisco,33.14,-96.81,0
75034,STANDARD,Frisco,33.14,-96.81,56190
75035,STANDARD,Frisco,33.16,-96.79,61020
75037,UNIQUE,Irving,32.78,-96.8,0
75038,STANDARD,Irving,32.87,-97,28790
75039,STANDARD,Irving,32.89,-96.94,15640
75040,STANDARD,Garland,32.91,-96.62,60860
75041,STANDARD,Garland,32.88,-96.65,31040
75042,STANDARD,Garland,32.91,-96.67,37960
75043,STANDARD,Garland,32.86,-96.58,57640
75044,STANDARD,Garland,32.96,-96.65,40270
75045,PO BOX,Garland,32.91,-96.62,709
75046,PO BOX,Garland,32.91,-96.62,797
75047,PO BOX,Garland,32.91,-96.62,301
75048,STANDARD,Sachse,32.97,-96.58,23010
75049,PO BOX,Garland,32.91,-96.62,971
75050,STANDARD,Grand Prairie,32.78,-97.01,40200
75051,STANDARD,Grand Prairie,32.73,-97,37730
75052,STANDARD,Grand Prairie,32.69,-97.01,88470
75053,PO BOX,Grand Prairie,32.69,-97.01,1604
75054,STANDARD,Grand Prairie,32.59,-97.04,11250
75056,STANDARD,The Colony,33.09,-96.88,54880
75057,STANDARD,Lewisville,33.04,-96.98,13950
75058,STANDARD,Gunter,33.45,-96.74,2940
75060,STANDARD,Irving,32.8,-96.95,47100
75061,STANDARD,Irving,32.83,-96.97,53150
75062,STANDARD,Irving,32.85,-96.96,46710
75063,STANDARD,Irving,32.92,-96.99,37680
75065,STANDARD,Lake Dallas,33.12,-97.02,10800
75067,STANDARD,Lewisville,33.01,-97,63990
75068,STANDARD,Little Elm,33.16,-96.93,46950
75069,STANDARD,Mckinney,33.18,-96.59,35280
75070,STANDARD,Mckinney,33.17,-96.7,89930
75071,STANDARD,Mckinney,33.2,-96.65,44410
75074,STANDARD,Plano,33.03,-96.67,46800
75075,STANDARD,Plano,33.04,-96.74,32620
75076,STANDARD,Pottsboro,33.77,-96.67,6680
75077,STANDARD,Lewisville,33.08,-97.06,35550
75078,STANDARD,Prosper,33.24,-96.78,18620
75080,STANDARD,Richardson,32.98,-96.74,40270
75081,STANDARD,Richardson,32.97,-96.7,34030
75082,STANDARD,Richardson,32.99,-96.66,21030
75083,PO BOX,Richardson,32.97,-96.7,1937
75085,PO BOX,Richardson,32.97,-96.7,523
75086,PO BOX,Plano,33.04,-96.74,1398
75087,STANDARD,Rockwall,32.92,-96.45,32800
75088,STANDARD,Rowlett,32.9,-96.55,24100
75089,STANDARD,Rowlett,32.94,-96.56,30600
75090,STANDARD,Sherman,33.61,-96.6,20760
75091,PO BOX,Sherman,33.61,-96.6,1891
75092,STANDARD,Sherman,33.66,-96.7,20700
75093,STANDARD,Plano,33.03,-96.81,46530
75094,STANDARD,Plano,33.02,-96.62,23370
75097,PO BOX,Weston,33.32,-96.64,280
75098,STANDARD,Wylie,33.04,-96.51,53260
75099,UNIQUE,Coppell,32.96,-96.99,0
75101,PO BOX,Bardwell,32.27,-96.7,738
75102,STANDARD,Barry,32.09,-96.63,1210
75103,STANDARD,Canton,32.54,-95.86,11640
75104,STANDARD,Cedar Hill,32.58,-96.95,44780
75105,STANDARD,Chatfield,32.29,-96.36,280
75106,PO BOX,Cedar Hill,32.58,-96.95,1480
75109,STANDARD,Corsicana,32.08,-96.39,3580
75110,STANDARD,Corsicana,32.08,-96.46,25790
75114,STANDARD,Crandall,32.63,-96.45,5260
75115,STANDARD,Desoto,32.58,-96.86,47850
75116,STANDARD,Duncanville,32.66,-96.91,19430
75117,STANDARD,Edgewood,32.69,-95.88,3400
75118,PO BOX,Elmo,32.68,-96.21,246
75119,STANDARD,Ennis,32.33,-96.62,24190
75120,PO BOX,Ennis,32.33,-96.62,1273
75121,PO BOX,Copeville,33.08,-96.42,575
75123,PO BOX,Desoto,32.58,-96.86,1372
75124,STANDARD,Eustace,32.3,-96.01,3900
75125,STANDARD,Ferris,32.53,-96.66,6790
75126,STANDARD,Forney,32.75,-96.46,40870
75127,STANDARD,Fruitvale,32.68,-95.8,1370
75132,PO BOX,Fate,32.94,-96.38,706
75134,STANDARD,Lancaster,32.62,-96.78,19040
75135,STANDARD,Caddo Mills,33.06,-96.22,6030
75137,STANDARD,Duncanville,32.64,-96.91,18470
75138,PO BOX,Duncanville,32.64,-96.91,1513
75140,STANDARD,Grand Saline,32.67,-95.71,5930
75141,STANDARD,Hutchins,32.64,-96.7,3500
75142,STANDARD,Kaufman,32.58,-96.3,18090
75143,STANDARD,Kemp,32.43,-96.22,11570
